file_name,status,customfield_13601
HGWXRAY-21847,PASS,['TR-069']
HGWXRAY-21858,PASS,['TR-069']
HGWXRAY-2840,PASS,['TR-069']
HGWXRAY-2842,PASS,['TR-069']
HGWXRAY-2843,PASS,['TR-069']
HGWXRAY-2847,PASS,['TR-069']
HGWXRAY-2853,PASS,['TR-069']
HGWXRAY-2854,TODO,['TR-069']
HGWXRAY-2855,PASS,['TR-069']
HGWXRAY-2856,PASS,['TR-069']
HGWXRAY-2857,PASS,['TR-069']
HGWXRAY-2858,PASS,['TR-069']
HGWXRAY-2859,PASS,['TR-069']
HGWXRAY-2877,PASS,['TR-069']
HGWXRAY-2879,PASS,['TR-069']
HGWXRAY-2886,PASS,['TR-069']
HGWXRAY-2887,PASS,['TR-069']
HGWXRAY-2888,PASS,['TR-069']
HGWXRAY-2891,PASS,['TR-069']
HGWXRAY-56372,BLOCKED,['TR-069-UPGRADE']
HGWXRAY-56373,BLOCKED,['TR-069-UPGRADE']
HGWXRAY-56375,BLOCKED,['TR-069-UPGRADE']
HGWXRAY-56377,BLOCKED,['TR-069-UPGRADE']
HGWXRAY-56378,BLOCKED,['TR-069-UPGRADE']
HGWXRAY-56379,BLOCKED,['TR-069-UPGRADE']
HGWXRAY-56380,BLOCKED,['TR-069-UPGRADE']
HGWXRAY-56382,BLOCKED,['TR-069-UPGRADE']
HGWXRAY-56384,BLOCKED,['TR-069-UPGRADE']
HGWXRAY-56387,PASS,['TR-069']
HGWXRAY-56388,FAIL,['TR-069']
HGWXRAY-56389,TODO,['TR-069']
HGWXRAY-56390,TODO,['TR-069']
HGWXRAY-56391,PASS,['TR-069']
HGWXRAY-56392,PASS,['TR-069']
HGWXRAY-56393,PASS,['TR-069']
HGWXRAY-56394,PASS,['TR-069']
HGWXRAY-56397,PASS,['TR-069']
HGWXRAY-56398,PASS,['TR-069']
HGWXRAY-56399,TODO,['TR-069']
HGWXRAY-56401,ABORTED,['TR-069']
HGWXRAY-56402,FAIL,['TR-111']
HGWXRAY-57782,PASS,['TR-069']
HGWXRAY-57783,FAIL,['TR-111']
HGWXRAY-57784,FAIL,['TR-111']
HGWXRAY-57785,FAIL,['TR-111']
HGWXRAY-57786,FAIL,['TR-069']
HGWXRAY-57787,FAIL,['TR-111']
HGWXRAY-57788,FAIL,['TR-111']
HGWXRAY-57790,ABORTED,['TR-069']
HGWXRAY-57797,ABORTED,['TR-069']
HGWXRAY-57798,ABORTED,['TR-069']
HGWXRAY-57799,ABORTED,['TR-069']
HGWXRAY-57800,ABORTED,['TR-069']
HGWXRAY-57801,ABORTED,['TR-069']
HGWXRAY-57802,TODO,['TR-069']
HGWXRAY-57804,FAIL,['TR-069']
HGWXRAY-57807,FAIL,['TR-069']
HGWXRAY-57808,FAIL,['TR-069']
HGWXRAY-57809,FAIL,['TR-069']
HGWXRAY-57810,FAIL,['TR-069']
HGWXRAY-57811,FAIL,['TR-069']
HGWXRAY-57816,FAIL,['TR-069']
HGWXRAY-57817,FAIL,['TR-069']
HGWXRAY-57818,TODO,['TR-069']
HGWXRAY-57819,FAIL,['TR-069']
HGWXRAY-57820,FAIL,['TR-069']
HGWXRAY-59730,FAIL,['TR-069']
HGWXRAY-59755,PASS,['TR-069']
HGWXRAY-59760,PASS,['TR-069']
HGWXRAY-67225,PASS,['TR-069']
HGWXRAY-67294,PASS,['TR-069']
HGWXRAY-67295,PASS,['TR-069']
HGWXRAY-68527,PASS,['TR-069']
HGWXRAY-70153,BLOCKED,['TR-069-UPGRADE']
HGWXRAY-70547,FAIL,['TR-069']
HGWXRAY-71822,PASS,['TR-069']
HGWXRAY-71823,PASS,['TR-069']
HGWXRAY-71825,PASS,['TR-069']
HGWXRAY-71826,PASS,['TR-069']
HGWXRAY-71827,FAIL,['TR-069']
HGWXRAY-77824,PASS,['TR-069']
HGWXRAY-84725,PASS,['TR-069']
HGWXRAY-84856,PASS,['TR-069']
